GA,Copy,Script,ExtLink,Label
FALSE,FALSE,3,20,Phish
FALSE,FALSE,3,20,Phish
FALSE,FALSE,3,20,Phish
FALSE,FALSE,3,20,Phish
FALSE,FALSE,3,20,Phish
FALSE,FALSE,3,20,Phish
FALSE,FALSE,3,20,Phish
FALSE,FALSE,114,100,Phish
FALSE,FALSE,1,0,Phish
FALSE,FALSE,1,0,Phish
FALSE,FALSE,1,0,Phish
FALSE,FALSE,1,0,Phish
FALSE,FALSE,1,0,Phish
FALSE,FALSE,1,0,Phish
FALSE,FALSE,1,0,Phish
FALSE,FALSE,114,100,Phish
FALSE,FALSE,114,100,Phish
FALSE,FALSE,114,100,Phish
FALSE,FALSE,114,100,Phish
FALSE,TRUE,0,91.4893617,Phish
FALSE,FALSE,114,100,Phish
FALSE,FALSE,4,66.66666667,Phish
FALSE,FALSE,114,100,Phish
FALSE,FALSE,114,100,Phish
FALSE,FALSE,9,0,Phish
FALSE,FALSE,3,100,Phish
FALSE,TRUE,0,71.42857143,Phish
FALSE,FALSE,9,0,Phish
FALSE,FALSE,9,0,Phish
FALSE,FALSE,3,0,Phish
FALSE,FALSE,7,0,Phish
FALSE,FALSE,9,0,Legitimate
TRUE,FALSE,20,0,Legitimate
FALSE,FALSE,10,0,Legitimate
TRUE,FALSE,19,9.89010989,Legitimate
TRUE,FALSE,12,66.66666667,Legitimate
TRUE,FALSE,18,0,Legitimate
TRUE,FALSE,15,0,Legitimate
TRUE,FALSE,63,0,Legitimate
FALSE,FALSE,5,0,Legitimate
TRUE,FALSE,81,60,Legitimate
FALSE,FALSE,19,25,Legitimate
TRUE,FALSE,45,12.5,Legitimate
TRUE,FALSE,36,12.5,Legitimate
FALSE,FALSE,11,60,Legitimate
TRUE,FALSE,75,0,Legitimate
FALSE,FALSE,4,0,Legitimate
FALSE,FALSE,24,41.66666667,Legitimate
FALSE,FALSE,34,0,Legitimate
FALSE,FALSE,24,0,Legitimate
FALSE,FALSE,5,0,Legitimate
TRUE,FALSE,76,0,Legitimate
FALSE,FALSE,31,0,Legitimate
FALSE,FALSE,47,2.803738318,Legitimate
FALSE,FALSE,12,0,Legitimate
